root,form,frequency,translation
2E;37;41,V,3,to do away with;to sweep;to take away
2E;41;2A,III,1,to be silent
2E;41;2A,VI,2,to murmur
2E;41;36,I,3,to lower
2E;41;41,I,3,to be light
2E;41;41,II,8,to lighten
2E;41;41,X,3,to take lightly;to bluff
2E;41;4A,I,6,to hide
2E;41;4A,IV,18,to conceal;to hide
2E;41;4A,X,3,to hide
2E;44;2F,I,2,to live forever
2E;44;2F,IV,2,to adhere
2E;44;35,I,1,to seclude
2E;44;35,IV,2,to choose;to be sincere
2E;44;35,X,1,to select
2E;44;37,I,1,to mix
2E;44;37,III,1,to associate
2E;44;37,VIII,3,to join;to absorb;to mingle
2E;44;39,I,1,to remove
2E;44;41,I,5,to succeed;to come after
2E;44;41,II,1,to leave behind
2E;44;41,III,2,to oppose;to differ
2E;44;41,IV,14,to break;to fail
2E;44;41,V,1,to remain behind
2E;44;41,VIII,35,to differ
2E;44;41,X,5,to grant succession
2E;44;42,I,184,to create
2E;44;48,I,25,to pass away
2E;44;48,II,1,to leave
2E;44;48,V,1,to become empty
2E;48;36,I,9,to engage in idle talk;to converse vainly
2E;48;41,I,83,to fear;to be afraid
2E;48;41,II,4,to frighten;to threaten
2E;48;44,II,3,to bestow
2E;48;46,I,5,to betray
2E;48;46,VIII,2,to deceive
2E;4A;28,I,4,to fail
2E;4A;31,V,2,to select;to choose
2E;4A;31,VIII,4,to choose
2E;4A;44,II,1,to seem
2F;28;31,II,4,to dispose;to arrange
2F;28;31,IV,4,to turn away;to depart
2F;28;31,V,4,to ponder
2F;2D;36,IV,2,to refute
2F;2D;48,I,1,to spread
2F;2E;44,I,76,to enter
2F;2E;44,IV,42,to admit
2F;31;27,I,4,to avert;to repel;to prevent
2F;31;27,VI,1,to dispute
2F;31;2C,X,2,to gradually lead
2F;31;33,I,5,to study;to learn
2F;31;43,IV,6,to overtake;to grasp
2F;31;43,VI,3,to overtake;to arrest
2F;31;4A,I,12,to know
2F;31;4A,IV,17,to make known
2F;33;33,I,1,to bury
2F;33;48,I,1,to bury
2F;39;39,I,2,to thrust;to repulse
2F;39;48,I,170,to call;to invite;to pray
2F;39;48,VIII,3,to call;to ask
2F;41;39,I,5,to defend;to deliver;to repel
2F;41;39,III,1,to defend
2F;43;43,I,2,to crush;to level
2F;44;44,I,7,to indicate;to show;to direct
2F;44;48,I,1,to come down
2F;44;48,IV,2,to present;to let down
2F;45;2F;45,I,1,to destroy
2F;45;31,II,8,to destroy
2F;45;3A,I,1,to break
2F;46;48,I,2,to approach;to draw
2F;47;46,IV,2,to compromise
2F;48;31,I,1,to revolve
2F;48;31,IV,1,to carry out
2F;48;44,III,1,to alternate
2F;48;45,I,7,to be as long as
2F;4A;46,I,1,to acknowledge
2F;4A;46,VI,1,to contract
30;28;2D,I,5,to slaughter;to sacrifice
30;28;2D,II,3,to slaughter
30;2E;31,VIII,1,to store
30;31;27,I,6,to create;to produce;to multiply
30;31;48,I,1,to scatter
30;43;31,I,84,to remember;to mention
30;43;31,II,18,to remind
30;43;31,V,51,to receive admonition
30;43;31,VIII,1,to remember
30;43;48,II,1,to slaughter
30;44;44,I,1,to humiliate
30;44;44,II,2,to tame
30;44;44,IV,1,to humiliate
30;47;28,I,35,to go;to take away
30;47;28,IV,11,to remove;to take away
30;47;44,I,1,to forget
30;48;2F,I,1,to keep back
30;48;42,I,36,to taste
30;48;42,IV,22,to cause taste
30;4A;39,IV,1,to spread
31;27;4A,I,271,to see
31;27;4A,III,2,to show off
31;27;4A,IV,40,to show
31;27;4A,VI,2,to come in sight
31;28;2D,I,1,to profit
31;28;35,V,13,to await
31;28;37,I,3,to strengthen;to make firm
31;28;37,III,1,to be constant
31;28;48,I,4,to increase;to swell
31;28;48,II,2,to bring up
31;28;48,IV,2,to increase;to make numerous
